id_track,id_marine,lat,lon,speed,course,age,date_add
1450091,98,43.0796,131.994,1,343,2,2/23/2016 0:00
1450092,99,43.0798,131.995,0,224,2,2/23/2016 0:00
1450093,100,43.0847,132.008,1,3,21,2/23/2016 0:00
1450094,143,43.0657,132.012,1,69,2,2/23/2016 0:00
1450095,102,43.0889,132.018,1,330,2,2/23/2016 0:00
1450096,113,43.0916,132.029,1,88,4,2/23/2016 0:00
1450097,134,43.0512,132.033,0,0,3,2/23/2016 0:00
1450098,111,43.0838,132.038,1,239,5,2/23/2016 0:00
1450099,103,43.0838,132.038,1,227,2,2/23/2016 0:00
1450100,133,43.0651,132.04,0,0,4,2/23/2016 0:00
1450101,150,43.0964,131.803,93,334,3,2/23/2016 0:00
1450102,1,43.0798,131.853,0,21,3,2/23/2016 0:00
1450103,2,43.0801,131.855,0,204,2,2/23/2016 0:00
1450104,136,43.0909,131.869,0,353,2,2/23/2016 0:00
1450105,128,43.093,131.872,0,280,4,2/23/2016 0:00
1450106,5,43.0948,131.874,0,359,2,2/23/2016 0:00
1450107,114,43.0977,131.871,0,258,3,2/23/2016 0:00
1450108,130,43.0993,131.87,0,293,3,2/23/2016 0:00
1450109,12,43.1011,131.873,0,309,4,2/23/2016 0:00
1450110,14,43.0618,131.883,0,0,3,2/23/2016 0:00
1450111,15,43.0803,131.884,0,282,2,2/23/2016 0:00
1450112,135,43.0863,131.884,0,50,3,2/23/2016 0:00
1450113,125,43.0927,131.88,0,181,2,2/23/2016 0:00
1450114,122,43.0927,131.88,0,234,20,2/23/2016 0:00
1450115,18,43.0934,131.88,0,93,2,2/23/2016 0:00
1450116,19,43.0936,131.88,0,312,3,2/23/2016 0:00
1450117,20,43.0939,131.881,0,318,3,2/23/2016 0:00
1450118,137,43.0963,131.883,0,218,8,2/23/2016 0:00
1450119,138,43.0977,131.882,0,41,6,2/23/2016 0:00
1450120,139,43.098,131.882,0,12,3,2/23/2016 0:00
1450121,48,43.0989,131.879,113,200,3,2/23/2016 0:00
1450122,131,43.1007,131.883,0,268,4,2/23/2016 0:00
1450123,149,43.101,131.883,0,4,7,2/23/2016 0:00
1450124,146,43.1039,131.878,0,290,3,2/23/2016 0:00
1450125,70,43.1039,131.878,0,122,3,2/23/2016 0:00
1450126,17,43.109,131.883,0,0,5,2/23/2016 0:00
1450127,26,43.062,131.887,0,202,5,2/23/2016 0:00
1450128,27,43.0621,131.887,0,111,4,2/23/2016 0:00
1450129,94,43.0622,131.887,0,0,4,2/23/2016 0:00
1450130,28,43.0623,131.887,0,21,3,2/23/2016 0:00
1450131,30,43.0626,131.888,0,0,3,2/23/2016 0:00
1450132,116,43.082,131.891,0,86,3,2/23/2016 0:00
1450133,148,43.0855,131.888,1,129,56,2/23/2016 0:00
1450134,33,43.0859,131.889,0,236,4,2/23/2016 0:00
1450135,42,43.0905,131.892,1,41,2,2/23/2016 0:00
1450136,35,43.0906,131.892,0,198,3,2/23/2016 0:00
1450137,41,43.0911,131.893,1,239,4,2/23/2016 0:00
1450138,40,43.0911,131.893,0,320,5,2/23/2016 0:00
1450139,13,43.1037,131.887,0,159,4,2/23/2016 0:00
1450140,45,43.1044,131.889,0,59,3,2/23/2016 0:00
1450141,47,43.1057,131.891,0,0,5,2/23/2016 0:00
1450142,46,43.1058,131.892,0,64,2,2/23/2016 0:00
1450143,108,43.1061,131.893,0,0,5,2/23/2016 0:00
1450144,140,43.0647,131.903,57,123,2,2/23/2016 0:00
1450145,50,43.091,131.895,0,104,3,2/23/2016 0:00
1450146,51,43.1059,131.903,0,0,3,2/23/2016 0:00
1450147,53,43.1063,131.902,0,90,4,2/23/2016 0:00
1450148,16,43.1064,131.9,0,208,2,2/23/2016 0:00
1450149,52,43.1065,131.895,0,147,3,2/23/2016 0:00
1450150,141,43.1068,131.897,0,357,4,2/23/2016 0:00
1450151,58,43.1118,131.898,0,167,4,2/23/2016 0:00
1450152,68,43.1119,131.895,0,0,4,2/23/2016 0:00
1450153,60,43.1119,131.895,0,0,3,2/23/2016 0:00
1450154,119,43.1422,131.896,0,216,7,2/23/2016 0:00
1450155,62,43.1447,131.896,0,0,5,2/23/2016 0:00
1450156,123,43.1052,131.909,0,348,7,2/23/2016 0:00
1450157,67,43.1055,131.908,1,109,4,2/23/2016 0:00
1450158,69,43.0432,131.919,0,320,3,2/23/2016 0:00
1450159,71,43.0473,131.918,1,312,3,2/23/2016 0:00
1450160,110,43.0541,131.916,0,293,3,2/23/2016 0:00
1450161,65,43.0722,131.914,0,326,2,2/23/2016 0:00
1450162,72,43.0722,131.915,0,292,2,2/23/2016 0:00
1450163,73,43.0729,131.915,0,0,5,2/23/2016 0:00
1450164,74,43.0781,131.917,0,85,3,2/23/2016 0:00
1450165,97,43.1044,131.919,0,0,3,2/23/2016 0:00
1450166,77,43.1045,131.919,0,154,200,2/23/2016 0:00
1450167,76,43.1045,131.919,0,0,2,2/23/2016 0:00
1450168,78,43.105,131.914,0,33,3,2/23/2016 0:00
1450169,79,43.105,131.915,0,278,3,2/23/2016 0:00
1450170,80,43.1051,131.915,0,278,4,2/23/2016 0:00
