id_track,id_marine,lat,lon,speed,course,age,date_add
1670919,1,43.0797,131.853,0,21,5,2/25/2016 0:00
1670920,2,43.0801,131.855,0,0,3,2/25/2016 0:00
1670921,151,43.0815,131.857,0,254,5,2/25/2016 0:00
1670922,12,43.0853,131.873,49,189,2,2/25/2016 0:00
1670923,152,43.0884,131.867,0,275,4,2/25/2016 0:00
1670924,154,43.091,131.869,0,248,4,2/25/2016 0:00
1670925,133,43.0928,131.872,0,0,2,2/25/2016 0:00
1670926,155,43.0967,131.874,0,0,3,2/25/2016 0:00
1670927,130,43.0992,131.87,0,200,4,2/25/2016 0:00
1670928,14,43.0618,131.883,0,0,2,2/25/2016 0:00
1670929,156,43.068,131.877,0,331,3,2/25/2016 0:00
1670930,15,43.0793,131.884,1,205,4,2/25/2016 0:00
1670931,157,43.086,131.883,0,0,2,2/25/2016 0:00
1670932,18,43.0934,131.88,0,98,4,2/25/2016 0:00
1670933,19,43.0935,131.88,0,67,2,2/25/2016 0:00
1670934,20,43.0938,131.881,0,279,2,2/25/2016 0:00
1670935,158,43.0977,131.883,0,51,4,2/25/2016 0:00
1670936,166,43.0993,131.882,0,0,2,2/25/2016 0:00
1670937,110,43.0996,131.882,0,196,2,2/25/2016 0:00
1670938,131,43.101,131.883,1,25,2,2/25/2016 0:00
1670939,149,43.1013,131.883,0,150,4,2/25/2016 0:00
1670940,17,43.109,131.883,0,0,4,2/25/2016 0:00
1670941,48,43.11,131.884,80,195,2,2/25/2016 0:00
1670942,26,43.062,131.887,0,202,4,2/25/2016 0:00
1670943,28,43.0622,131.887,0,346,3,2/25/2016 0:00
1670944,30,43.0625,131.888,0,0,2,2/25/2016 0:00
1670945,170,43.0757,131.889,24,304,3,2/25/2016 0:00
1670946,159,43.0819,131.894,0,0,4,2/25/2016 0:00
1670947,160,43.0821,131.892,0,60,5,2/25/2016 0:00
1670948,33,43.0859,131.889,0,196,2,2/25/2016 0:00
1670949,35,43.0906,131.892,0,256,3,2/25/2016 0:00
1670950,161,43.0908,131.891,0,302,4,2/25/2016 0:00
1670951,36,43.0908,131.892,0,321,2,2/25/2016 0:00
1670952,40,43.0911,131.893,0,292,4,2/25/2016 0:00
1670953,42,43.0913,131.893,0,346,4,2/25/2016 0:00
1670954,45,43.1045,131.889,0,6,3,2/25/2016 0:00
1670955,47,43.1057,131.891,0,0,4,2/25/2016 0:00
1670956,46,43.1059,131.892,0,87,3,2/25/2016 0:00
1670957,108,43.1061,131.892,0,0,4,2/25/2016 0:00
1670958,147,43.0811,131.895,0,0,4,2/25/2016 0:00
1670959,50,43.0911,131.895,0,270,4,2/25/2016 0:00
1670960,51,43.1058,131.903,0,0,2,2/25/2016 0:00
1670961,53,43.1063,131.902,0,321,3,2/25/2016 0:00
1670962,52,43.1065,131.895,0,69,2,2/25/2016 0:00
1670963,141,43.1067,131.898,0,307,3,2/25/2016 0:00
1670964,58,43.1117,131.898,0,167,3,2/25/2016 0:00
1670965,60,43.1119,131.895,0,0,4,2/25/2016 0:00
1670966,68,43.1119,131.895,0,0,6,2/25/2016 0:00
1670967,144,43.1422,131.896,0,156,5,2/25/2016 0:00
1670968,162,43.1427,131.897,0,171,7,2/25/2016 0:00
1670969,127,43.1045,131.912,0,127,4,2/25/2016 0:00
1670970,163,43.1046,131.911,0,345,7,2/25/2016 0:00
1670971,123,43.1051,131.909,0,115,3,2/25/2016 0:00
1670972,167,43.1053,131.908,0,243,4,2/25/2016 0:00
1670973,168,43.1056,131.906,1,177,4,2/25/2016 0:00
1670974,98,43.1064,131.904,0,0,3,2/25/2016 0:00
1670975,69,43.0421,131.921,0,350,2,2/25/2016 0:00
1670976,71,43.046,131.919,0,307,5,2/25/2016 0:00
1670977,72,43.0722,131.915,0,287,3,2/25/2016 0:00
